--[[ KHENGIE v10.2 EXTREME | 800 layers | 3x multi-pass ]]
local Metejefam=math.floor(math.abs(math.cos(425)*70550)) local Femofili=Metejefam%4 if Femofili==0 then Zenovun=math.floor((math.sqrt(10361976)%6439)+0) else Jesenipuqokasow=math.floor(math.abs(math.sin(441)*4113)) end
local Dumezomoxafaf=math.floor(math.abs(math.cos(990)*65604)) local Hiyonucakeg=Dumezomoxafaf%4 if Hiyonucakeg==0 then Quhixages=math.floor(math.abs(math.cos(489)*4667)) else Nojefeti=math.floor(math.abs(math.sin(596)*2748)) end
local Musugusuka=math.floor(math.abs(math.sin(357)*51213)) local Jejayoxopopob=Musugusuka%4 if Jejayoxopopob==1 then Kezivofoqu=math.floor(math.abs(math.cos(715)*3428)) else Julocusaj=math.floor(math.tan(837)*595)+5 end
local Tihedovumu=math.floor((math.sqrt(3373170302)%116159)+1) local Vedokalifugegex=Tihedovumu%5 if Vedokalifugegex==4 then Ganalezeqorez=math.floor(math.abs(math.cos(341)*3229)) else Yovupadukiraz=math.floor((math.sqrt(1515383)%2463)+3) end
local Rofihuzukoh=math.floor((math.sqrt(179104743)%26767)+0) local Zalarej=Rofihuzukoh%5 if Zalarej==3 then Kiqofipixemag=math.floor(math.abs(math.sin(246)*3771)) else Teqecep=math.floor(math.abs(math.cos(347)*2347)) end
local Kugegajefati=math.floor((math.sqrt(1596721703)%79919)+5) local Jamibonagurul=Kugegajefati%3 if Jamibonagurul==2 then Caxeverucenax=math.floor(math.tan(208)*3144)+3 else Fiyajogevanowe=math.floor(math.tan(816)*2076)+4 end
local Yonubavi=math.floor(math.abs(math.sin(790)*16283)) local Deliwokiha=Yonubavi%2 if Deliwokiha==1 then Xezovavim=math.floor(math.abs(math.cos(35)*3650)) else Kujadowesobuy=math.floor(math.abs(math.sin(740)*3850)) end
local Zekonejo=math.floor(math.tan(342)*33080)+0 local Wiqaqugiza=Zekonejo%3 if Wiqaqugiza==1 then Fununesu=math.floor(math.tan(19)*4902)+3 else Gupenapurifafeso=math.floor(math.abs(math.cos(634)*1758)) end
local Xicuxiviniruwuk=math.floor((math.sqrt(4417862093)%132935)+5) local Fetokah=Xicuxiviniruwuk%5 if Fetokah==2 then Jesirut=math.floor(math.abs(math.cos(817)*4978)) else Goxataven=math.floor(math.abs(math.sin(657)*2481)) end
local Fexejaguqe=math.floor(math.abs(math.sin(509)*79964)) local Ninisina=Fexejaguqe%3 if Ninisina==2 then Mokidecime=math.floor((math.sqrt(6775645)%5207)+0) else Havukekurazalo=math.floor(math.abs(math.sin(359)*1984)) end
local Nazavitojoq=math.floor(math.tan(977)*34653)+0 local Fasuhimeyamad=Nazavitojoq%5 if Fasuhimeyamad==4 then Makaladetotegob=math.floor(math.abs(math.sin(823)*2837)) else Sebekowahikifoti=math.floor(math.tan(472)*741)+0 end
local Wezuzozefe=math.floor(math.abs(math.cos(917)*73565)) local Yeporalafo=Wezuzozefe%4 if Yeporalafo==0 then Dacimivecako=math.floor(math.abs(math.sin(981)*1276)) else Ziwato=math.floor(math.abs(math.cos(638)*2473)) end
local Losetipuvo=math.floor(math.tan(832)*85807)+5 local Hofepu=Losetipuvo%4 if Hofepu==2 then Nocomabigeyekawo=math.floor(math.abs(math.cos(639)*3403)) else Sofuruje=math.floor(math.abs(math.sin(380)*876)) end
local Dalahuba=math.floor(math.abs(math.cos(422)*43026)) local Batipelawun=Dalahuba%5 if Batipelawun==1 then Tifineficexaxof=math.floor(math.abs(math.cos(195)*706)) else Gafocahugox=math.floor(math.tan(977)*2829)+4 end
local Gucopecumi=math.floor(math.tan(715)*7945)+1 local Paheyofolikog=Gucopecumi%2 if Paheyofolikog==0 then Jesahecowuneqew=math.floor(math.tan(902)*1719)+5 else Kopovexovuzu=math.floor(math.abs(math.cos(154)*4544)) end
local Qibatahehayesuwe=math.floor(math.abs(math.cos(838)*40965)) local Figirujawokuze=Qibatahehayesuwe%3 if Figirujawokuze==0 then Damaseran=math.floor(math.abs(math.cos(197)*3138)) else Perabotibi=math.floor(math.abs(math.sin(240)*4375)) end
local Zezijedi=math.floor((math.sqrt(7509782349)%173319)+1) local Puzixoyekenexuz=Zezijedi%2 if Puzixoyekenexuz==1 then Dupipojewu=math.floor(math.tan(683)*1872)+0 else Bebuzabacagomuq=math.floor(math.tan(915)*1295)+2 end
local Rumukumidu=math.floor(math.tan(312)*81869)+1 local Lasipuwu=Rumukumidu%5 if Lasipuwu==0 then Hiyuduve=math.floor(math.tan(579)*210)+3 else Jaroqisowexiz=math.floor((math.sqrt(11881850)%6895)+2) end
local Kuqoqeviw=math.floor((math.sqrt(1538130016)%78439)+4) local Sipomurorizosac=Kuqoqeviw%4 if Sipomurorizosac==3 then Muwomuces=math.floor(math.abs(math.sin(890)*4218)) else Cafemoyojubu=math.floor(math.abs(math.cos(311)*734)) end
local Kevupuvel=math.floor(math.tan(535)*37528)+0 local Yegupu=Kevupuvel%2 if Yegupu==0 then Zavoladotoxetew=math.floor(math.abs(math.cos(506)*4782)) else Diwifutocegiyeki=math.floor(math.abs(math.sin(320)*1137)) end
local Fegegevuyipuzax=math.floor(math.abs(math.cos(642)*60820)) local Ranizek=Fegegevuyipuzax%4 if Ranizek==0 then Wekozehu=math.floor((math.sqrt(13388307)%7319)+3) else Penapove=math.floor(math.abs(math.sin(657)*902)) end
local Qolofegunana=math.floor((math.sqrt(54213862)%14727)+5) local Neyufobuq=Qolofegunana%2 if Neyufobuq==1 then Gukazozarawifa=math.floor(math.tan(991)*2833)+0 else Cinupopeyey=math.floor(math.abs(math.sin(81)*4714)) end
local Resico=math.floor(math.abs(math.cos(622)*30568)) local Kejubatunev=Resico%2 if Kejubatunev==0 then Xewogijukahesewe=math.floor(math.abs(math.sin(962)*2091)) else Xixobehe=math.floor(math.tan(896)*4989)+0 end
local Cuzoxadukutayo=math.floor(math.abs(math.cos(184)*98838)) local Waronohuli=Cuzoxadukutayo%2 if Waronohuli==0 then Bisojoqeyefaf=math.floor(math.abs(math.sin(568)*3566)) else Bazolupozisu=math.floor(math.abs(math.sin(123)*2822)) end
local Nemudomaxi=math.floor(math.tan(906)*78870)+3 local Vevavivu=Nemudomaxi%5 if Vevavivu==0 then Xebeduqaj=math.floor(math.abs(math.cos(637)*4265)) else Dahadeqajejeca=math.floor(math.tan(456)*2711)+3 end
local Bayaca=math.floor(math.tan(42)*16613)+2 local Tisetagalujiroku=Bayaca%3 if Tisetagalujiroku==0 then Dunikug=math.floor((math.sqrt(4305677)%4151)+3) else Ceyevak=math.floor(math.tan(660)*643)+1 end
local Yarutu=math.floor(math.abs(math.cos(939)*89834)) local Kigapoqadalebejo=Yarutu%4 if Kigapoqadalebejo==0 then Kudizohaj=math.floor((math.sqrt(269415)%1039)+4) else Hezegetakitivam=math.floor(math.abs(math.cos(125)*3253)) end
local Hudiqex=math.floor(math.abs(math.cos(722)*81239)) local Cavamipeloral=Hudiqex%3 if Cavamipeloral==1 then Kemoqopohal=math.floor(math.abs(math.cos(812)*4861)) else Tejugev=math.floor((math.sqrt(5774472)%4807)+5) end
local Sawarey=math.floor((math.sqrt(6296581269)%158703)+1) local Luvobe=Sawarey%2 if Luvobe==1 then Xebowuwol=math.floor(math.abs(math.cos(71)*3991)) else Xejazuta=math.floor(math.abs(math.cos(11)*2205)) end
local Qicipakupudawame=math.floor((math.sqrt(2878859101)%107311)+0) local Dilere=Qicipakupudawame%5 if Dilere==0 then Bolifitadaso=math.floor(math.tan(674)*1852)+4 else Zilokigatan=math.floor((math.sqrt(1739774)%2639)+1) end
local Wogunuputofud=math.floor(math.abs(math.cos(174)*98206)) local Dovediro=Wogunuputofud%3 if Dovediro==0 then Qorekiqonozedu=math.floor(math.abs(math.sin(184)*3015)) else Yedetecebalam=math.floor(math.abs(math.cos(994)*5002)) end
local Bipapamapu=math.floor(math.abs(math.sin(915)*84674)) local Qixabosociwor=Bipapamapu%4 if Qixabosociwor==1 then Qotuyayidec=math.floor(math.abs(math.sin(693)*3644)) else Tizuxigo=math.floor(math.abs(math.cos(521)*3305)) end
local Joliga=math.floor(math.abs(math.cos(586)*81139)) local Gujuyotomidako=Joliga%3 if Gujuyotomidako==0 then Mebekile=math.floor(math.abs(math.cos(728)*4308)) else Xuwayiwi=math.floor(math.tan(554)*3262)+0 end
local Xadoviluya=math.floor(math.abs(math.cos(83)*18044)) local Juyuzox=Xadoviluya%5 if Juyuzox==1 then Pawudipufiyetu=math.floor(math.abs(math.cos(105)*130)) else Gidogiqus=math.floor((math.sqrt(2163851)%2943)+2) end
local Vofifuyo=math.floor(math.tan(960)*37142)+5 local Qazipoduyuva=Vofifuyo%4 if Qazipoduyuva==2 then Xusutodaqifu=math.floor(math.tan(488)*770)+3 else Suyexemajaqume=math.floor(math.abs(math.sin(471)*3352)) end
local Nigevu=math.floor((math.sqrt(5539973845)%148863)+4) local Medicupiy=Nigevu%3 if Medicupiy==1 then Waqisafofotecije=math.floor(math.abs(math.cos(600)*1782)) else Ciyalupucoduzo=math.floor((math.sqrt(14768740)%7687)+5) end
local Koketa=math.floor(math.abs(math.cos(817)*54005)) local Zejaqoqipabojed=Koketa%5 if Zejaqoqipabojed==1 then Hevewemu=math.floor(math.tan(413)*926)+5 else Sukayipom=math.floor((math.sqrt(20967339)%9159)+4) end
local Mimilafanehotu=math.floor((math.sqrt(2053086761)%90623)+3) local Tulupa=Mimilafanehotu%4 if Tulupa==3 then Gocibirijope=math.floor(math.abs(math.cos(553)*2008)) else Hilaxiseqip=math.floor(math.abs(math.cos(773)*1662)) end
local Cohafuyajof=math.floor(math.tan(128)*61617)+5 local Fedelomacu=Cohafuyajof%4 if Fedelomacu==2 then Garisutoc=math.floor(math.abs(math.cos(469)*710)) else Dajukuponilecigu=math.floor((math.sqrt(18619236)%8631)+4) end
local Qohevuso=math.floor(math.abs(math.cos(419)*90137)) local Pisuhafikameta=Qohevuso%3 if Pisuhafikameta==2 then Ficura=math.floor(math.abs(math.cos(944)*4641)) else Makozucefagoh=math.floor(math.abs(math.sin(848)*2893)) end
local Lobinaq=math.floor(math.abs(math.sin(22)*1482)) local Tecapek=Lobinaq%5 if Tecapek==1 then Heyucuc=math.floor(math.tan(318)*69)+2 else Pucosegi=math.floor(math.abs(math.sin(633)*2489)) end
local Havufaset=math.floor(math.tan(588)*90105)+4 local Bacicekuvaxifu=Havufaset%2 if Bacicekuvaxifu==0 then Zofuzuxasefojumu=math.floor((math.sqrt(1456886)%2415)+1) else Zoqeyetazo=math.floor(math.abs(math.cos(3)*2025)) end
local Vayola=math.floor(math.tan(246)*16258)+4 local Zogudoyoj=Vayola%3 if Zogudoyoj==1 then Befesutulevekow=math.floor(math.abs(math.cos(114)*4608)) else Vodifonacey=math.floor(math.tan(882)*310)+3 end
local Bedisoj=math.floor(math.abs(math.cos(14)*82455)) local Holirunewe=Bedisoj%5 if Holirunewe==3 then Tojuguyu=math.floor(math.abs(math.sin(892)*3522)) else Papibaqijaq=math.floor((math.sqrt(178983)%847)+2) end
local Mopidavakiler=math.floor((math.sqrt(1285294232)%71703)+0) local Boxesoqoyinebe=Mopidavakiler%4 if Boxesoqoyinebe==3 then Gakeqoyaf=math.floor(math.abs(math.sin(401)*1767)) else Fawoneceyi=math.floor((math.sqrt(1934892)%2783)+4) end
local Qacapa=math.floor((math.sqrt(3171829857)%112639)+2) local Penibuyip=Qacapa%3 if Penibuyip==0 then Qoqehikona=math.floor(math.abs(math.sin(431)*4753)) else Pahifavume=math.floor(math.tan(187)*2778)+2 end
local Runocedequmun=math.floor(math.tan(649)*32270)+2 local Fonapejureyiz=Runocedequmun%5 if Fonapejureyiz==0 then Zujaqohih=math.floor(math.abs(math.cos(789)*3877)) else Qocibepoqujuxije=math.floor(math.tan(400)*2888)+3 end
local Zicuda=math.floor((math.sqrt(3553471355)%119223)+1) local Lubuxigereri=Zicuda%3 if Lubuxigereri==1 then Bebezuhixutaser=math.floor(math.abs(math.cos(52)*1593)) else Cicoluceyocew=math.floor(math.tan(422)*4009)+0 end
local Jumehu=math.floor(math.abs(math.sin(19)*21569)) local Romuca=Jumehu%5 if Romuca==1 then Tujadig=math.floor(math.abs(math.cos(951)*2392)) else Fepavulufagakac=math.floor((math.sqrt(3869136)%3935)+1) end
local Loyakegu=math.floor(math.abs(math.cos(363)*60483)) local Foxutef=Loyakegu%2 if Foxutef==0 then Gamuzajolex=math.floor(math.tan(869)*3501)+2 else Lowekec=math.floor((math.sqrt(3294310)%3631)+5) end
local Puyezoguwagumohi=math.floor((math.sqrt(846286318)%58183)+1) local Zadozojizoxahu=Puyezoguwagumohi%2 if Zadozojizoxahu==1 then Nidujugad=math.floor(math.tan(526)*3793)+0 else Fefikivuteyobese=math.floor(math.tan(794)*1234)+2 end
local Hokaparapawa=math.floor((math.sqrt(2236817078)%94591)+0) local Voqaqikuney=Hokaparapawa%4 if Voqaqikuney==3 then Geyebemejaberup=math.floor(math.abs(math.sin(414)*847)) else Cogubowafugoxe=math.floor((math.sqrt(16801824)%8199)+1) end
local Pizarerik=math.floor(math.abs(math.sin(624)*9212)) local Zodedog=Pizarerik%5 if Zodedog==4 then Qelepigequm=math.floor(math.abs(math.sin(101)*4181)) else Hapabok=math.floor((math.sqrt(8059979)%5679)+4) end
local Jutudedizorosu=math.floor((math.sqrt(238857027)%30911)+4) local Wahamuyuhubexe=Jutudedizorosu%5 if Wahamuyuhubexe==0 then Daqemadaqosonif=math.floor(math.tan(934)*3341)+4 else Caqajinaximefiwe=math.floor((math.sqrt(14861104)%7711)+2) end
local Ruwoxewugori=math.floor(math.tan(206)*10241)+5 local Tahajaw=Ruwoxewugori%5 if Tahajaw==2 then Rifuwesoyidunuhe=math.floor(math.abs(math.sin(365)*4216)) else Buhice=math.floor(math.tan(811)*1586)+2 end
local Cametim=math.floor(math.tan(497)*59498)+3 local Tobimiquful=Cametim%4 if Tobimiquful==2 then Qucaqemapuj=math.floor((math.sqrt(1565013)%2503)+3) else Dihimeleb=math.floor(math.abs(math.sin(917)*2484)) end
local Sepetehoba=math.floor(math.abs(math.cos(956)*19360)) local Cuquyofebez=Sepetehoba%5 if Cuquyofebez==1 then Xijowiludidoge=math.floor(math.abs(math.sin(914)*1062)) else Taxepahemexi=math.floor(math.abs(math.cos(830)*417)) end
local Cuxuyifo=math.floor((math.sqrt(2006950441)%89599)+0) local Jixomuwev=Cuxuyifo%3 if Jixomuwev==0 then Gupehuze=math.floor(math.tan(136)*3367)+2 else Wuhamewidowe=math.floor(math.abs(math.cos(212)*757)) end
local Guqisapuqidik=math.floor(math.tan(186)*7955)+4 local Pimuniye=Guqisapuqidik%5 if Pimuniye==3 then Fopajorohenepuho=math.floor((math.sqrt(261139)%1023)+5) else Fexeyumusax=math.floor(math.abs(math.sin(56)*3726)) end
local Yocelujixapid=math.floor((math.sqrt(11229263)%6703)+2) local Docoqaje=Yocelujixapid%2 if Docoqaje==1 then Saxenepum=math.floor(math.abs(math.sin(936)*3199)) else Lomipepolofepemi=math.floor(math.abs(math.sin(597)*3052)) end
local Pekirode=math.floor(math.tan(900)*99568)+1 local Keqexiqota=Pekirode%2 if Keqexiqota==0 then Hezadopogiqomef=math.floor(math.abs(math.cos(236)*830)) else Feresomozuv=math.floor(math.abs(math.cos(710)*1234)) end
local Kederuweqevay=math.floor(math.abs(math.cos(219)*17377)) local Mowujalijekuj=Kederuweqevay%2 if Mowujalijekuj==0 then Ruwadipihepi=math.floor(math.abs(math.cos(652)*1483)) else Vefetu=math.floor(math.abs(math.cos(333)*4896)) end
local Rahuci=math.floor(math.tan(46)*89336)+1 local Vamicohug=Rahuci%4 if Vamicohug==2 then Zusasorotacoto=math.floor(math.abs(math.sin(514)*3078)) else Qezoquruhoxojoj=math.floor(math.tan(248)*2934)+4 end
local Lidukenezisuyoqu=math.floor(math.abs(math.sin(231)*87251)) local Resaxutizamakemu=Lidukenezisuyoqu%3 if Resaxutizamakemu==0 then Bebano=math.floor(math.abs(math.cos(18)*2577)) else Jiverise=math.floor((math.sqrt(6385823)%5055)+5) end
local Dudisiluj=math.floor((math.sqrt(830073757)%57623)+0) local Xoqunu=Dudisiluj%2 if Xoqunu==1 then Xinubapexayi=math.floor((math.sqrt(6651254)%5159)+4) else Zuqefedodosowuf=math.floor((math.sqrt(6325275)%5031)+2) end
local Dahiwef=math.floor(math.abs(math.sin(975)*38993)) local Zufaguyizu=Dahiwef%5 if Zufaguyizu==0 then Nufexeyeg=math.floor((math.sqrt(11580449)%6807)+1) else Faqabazafusoyuh=math.floor(math.abs(math.cos(633)*4577)) end
local Qadoludogenuqac=math.floor(math.tan(767)*81728)+3 local Qohadedu=Qadoludogenuqac%3 if Qohadedu==1 then Bikucojeb=math.floor(math.tan(966)*1011)+5 else Novifurih=math.floor(math.abs(math.sin(80)*1879)) end
local Tiduwa=math.floor(math.abs(math.sin(834)*2680)) local Pegavuzu=Tiduwa%3 if Pegavuzu==1 then Boyudutehepusebe=math.floor(math.abs(math.cos(403)*1211)) else Rorutoto=math.floor((math.sqrt(7767396)%5575)+3) end
local Ripujovalix=math.floor(math.abs(math.sin(450)*47679)) local Vovafurafew=Ripujovalix%2 if Vovafurafew==1 then Picerakaqorex=math.floor((math.sqrt(87043)%591)+1) else Vimucevibo=math.floor(math.tan(923)*1335)+0 end
local Yavoja=math.floor((math.sqrt(2869852093)%107143)+3) local Mekisufixepag=Yavoja%3 if Mekisufixepag==0 then Zodareno=math.floor((math.sqrt(5267034)%4591)+5) else Vabebocujeminon=math.floor(math.abs(math.sin(618)*4067)) end
local Quxeyu=math.floor((math.sqrt(7032331977)%167719)+2) local Geropusumiquyiqa=Quxeyu%2 if Geropusumiquyiqa==1 then Suvazasitiref=math.floor(math.abs(math.cos(43)*2053)) else Nesifafepep=math.floor(math.abs(math.sin(210)*4234)) end
local Vukowo=math.floor(math.abs(math.cos(334)*14601)) local Yewutebe=Vukowo%2 if Yewutebe==0 then Godicoq=math.floor(math.tan(692)*250)+3 else Disocake=math.floor((math.sqrt(8684876)%5895)+1) end
local Rineyerepavuvote=math.floor((math.sqrt(9359982012)%193495)+1) local Totolivoruxu=Rineyerepavuvote%4 if Totolivoruxu==3 then Qoqonabogecos=math.floor(math.tan(135)*4778)+5 else Kezorulapikave=math.floor(math.abs(math.sin(334)*4041)) end
local Zahelahice=math.floor(math.abs(math.sin(784)*4654)) local Kizokanecivaq=Zahelahice%3 if Kizokanecivaq==0 then Barilusiqajewa=math.floor(math.tan(520)*127)+5 else Vipuyukac=math.floor(math.abs(math.sin(461)*208)) end
local Cugete=math.floor(math.abs(math.cos(876)*31413)) local Wukizukepof=Cugete%5 if Wukizukepof==4 then Husivepaxol=math.floor(math.abs(math.sin(855)*392)) else Nipoqusexon=math.floor(math.tan(891)*205)+4 end
local Nisoyoyunu=math.floor((math.sqrt(155625637)%24951)+1) local Qubaqod=Nisoyoyunu%5 if Qubaqod==0 then Kufepuqezufisoti=math.floor(math.abs(math.sin(411)*838)) else Litiwot=math.floor(math.abs(math.sin(495)*4387)) end
local Wuwafupe=math.floor(math.abs(math.sin(165)*13652)) local Yanoyovokenu=Wuwafupe%3 if Yanoyovokenu==2 then Xalakibo=math.floor(math.abs(math.sin(330)*4665)) else Lajodigemewa=math.floor(math.tan(832)*4052)+2 end
local Turejaxihiqax=math.floor((math.sqrt(46607954)%13655)+3) local Sohusoki=Turejaxihiqax%3 if Sohusoki==2 then Kacekebogob=math.floor(math.abs(math.sin(41)*4511)) else Cekacoxihona=math.floor(math.abs(math.sin(438)*3869)) end
local Jumewasebu=math.floor(math.abs(math.cos(56)*29196)) local Rucotuviwogoyus=Jumewasebu%3 if Rucotuviwogoyus==2 then Sijumil=math.floor((math.sqrt(4272520)%4135)+4) else Deyetiquzutidur=math.floor(math.tan(82)*1798)+4 end
local Vefanon=math.floor(math.abs(math.cos(205)*91383)) local Bumapaxeqiy=Vefanon%4 if Bumapaxeqiy==0 then Lamopiha=math.floor(math.abs(math.sin(787)*4758)) else Vegipefumu=math.floor(math.abs(math.cos(557)*981)) end
local Nacecibazaxe=math.floor((math.sqrt(458088459)%42807)+5) local Tixoloq=Nacecibazaxe%5 if Tixoloq==3 then Kayuro=math.floor(math.abs(math.cos(700)*2003)) else Yomavumud=math.floor((math.sqrt(6568996)%5127)+1) end
