--[[ KHENGIE v10.2 EXTREME | 900 layers | 3x multi-pass ]]
local Sudanelodu=math.floor((math.sqrt(7578573082)%174111)+4) local Jecuwib=Sudanelodu%5 if Jecuwib==0 then Nodiwujicaq=math.floor(math.abs(math.cos(364)*209)) else Yedudoberacu=math.floor(math.abs(math.sin(650)*1884)) end
local Lulujujucax=math.floor(math.tan(714)*76245)+2 local Yenerumusofiguca=Lulujujucax%4 if Yenerumusofiguca==2 then Lunomuhedo=math.floor((math.sqrt(1646134)%2567)+1) else Quyafudikegose=math.floor(math.abs(math.cos(231)*4864)) end
local Bofumaxay=math.floor(math.tan(360)*38727)+0 local Yahuqu=Bofumaxay%2 if Yahuqu==0 then Ripofi=math.floor((math.sqrt(2105426)%2903)+5) else Tocoyezenufiki=math.floor(math.abs(math.cos(971)*2559)) end
local Wiqanuqivujujun=math.floor(math.abs(math.sin(634)*69850)) local Qukojomaci=Wiqanuqivujujun%5 if Qukojomaci==1 then Difexeg=math.floor(math.abs(math.cos(389)*1418)) else Qagedodoya=math.floor((math.sqrt(22269052)%9439)+1) end
local Bonirafus=math.floor((math.sqrt(4590740100)%135511)+2) local Bipinav=Bonirafus%5 if Bipinav==0 then Bayifexim=math.floor(math.tan(939)*3379)+5 else Gobakefagubev=math.floor(math.abs(math.cos(916)*3998)) end
local Rehubamucinaro=math.floor(math.abs(math.cos(585)*96738)) local Pupuwuxatiqa=Rehubamucinaro%5 if Pupuwuxatiqa==2 then Nafuxohovepeyal=math.floor(math.abs(math.cos(323)*4854)) else Venuzoqore=math.floor(math.abs(math.cos(51)*3731)) end
local Rehacac=math.floor(math.abs(math.cos(453)*93471)) local Liqeyugabi=Rehacac%3 if Liqeyugabi==0 then Cusoyovowimerik=math.floor(math.tan(988)*3967)+2 else Baviduyuqoy=math.floor(math.abs(math.sin(595)*1695)) end
local Zeyuzapuhivasuye=math.floor(math.tan(648)*17214)+5 local Rayigitoq=Zeyuzapuhivasuye%2 if Rayigitoq==0 then Kasaniqinamo=math.floor(math.tan(189)*132)+1 else Viwasegaz=math.floor(math.tan(681)*1401)+3 end
local Xusiketizozezuge=math.floor(math.abs(math.cos(676)*41126)) local Lijumogejoyi=Xusiketizozezuge%3 if Lijumogejoyi==0 then Ladedeyalupicom=math.floor(math.tan(756)*3877)+0 else Yiteqat=math.floor((math.sqrt(22458145)%9479)+1) end
local Regukujarekaxeti=math.floor((math.sqrt(1368630074)%73991)+5) local Teguxiq=Regukujarekaxeti%2 if Teguxiq==1 then Fipaxebisahalej=math.floor(math.abs(math.cos(342)*4841)) else Jojatazobowos=math.floor(math.abs(math.sin(194)*3269)) end
local Nahicunedem=math.floor(math.abs(math.cos(9)*63077)) local Ludirahopolupica=Nahicunedem%3 if Ludirahopolupica==0 then Wuveki=math.floor(math.tan(970)*1265)+3 else Coluhahufayop=math.floor((math.sqrt(21855660)%9351)+2) end
local Taxeqih=math.floor((math.sqrt(1878268922)%86679)+5) local Gufijirabit=Taxeqih%3 if Gufijirabit==1 then Xeteleka=math.floor(math.tan(557)*3707)+1 else Gerelekag=math.floor((math.sqrt(19562969)%8847)+5) end
local Ramame=math.floor(math.abs(math.cos(357)*6601)) local Bezimufosiyir=Ramame%2 if Bezimufosiyir==0 then Yoyegikino=math.floor(math.tan(582)*75)+1 else Xefolikamiw=math.floor(math.tan(78)*256)+4 end
local Nuvunowolovecu=math.floor(math.abs(math.sin(802)*36277)) local Tibaxaseyej=Nuvunowolovecu%2 if Tibaxaseyej==1 then Yeyowefoli=math.floor(math.tan(222)*303)+3 else Kaqihiwa=math.floor(math.abs(math.cos(328)*2645)) end
local Foxuyafevivil=math.floor(math.abs(math.cos(529)*62024)) local Nuruvadoy=Foxuyafevivil%3 if Nuruvadoy==1 then Gixonexalej=math.floor(math.tan(4)*1345)+3 else Hozehesevoj=math.floor(math.abs(math.cos(443)*2339)) end
local Mesuvegiwadimu=math.floor(math.tan(304)*80880)+4 local Kucevozugohirix=Mesuvegiwadimu%2 if Kucevozugohirix==0 then Wofebuhajodol=math.floor(math.tan(277)*3884)+1 else Bahofu=math.floor(math.tan(785)*590)+2 end
local Rixalopi=math.floor((math.sqrt(2622566589)%102423)+1) local Yayolafamemiqo=Rixalopi%3 if Yayolafamemiqo==1 then Kadumeluvanuwox=math.floor((math.sqrt(4422635)%4207)+0) else Poripebow=math.floor(math.abs(math.cos(707)*3170)) end
local Hafoqaravesicuq=math.floor(math.abs(math.sin(529)*95966)) local Bibocihoge=Hafoqaravesicuq%2 if Bibocihoge==1 then Kihujofepogita=math.floor(math.tan(541)*664)+4 else Nagodavubocuxu=math.floor(math.tan(415)*4631)+4 end
local Noxekixozi=math.floor(math.abs(math.sin(45)*84969)) local Mamiqohaxicog=Noxekixozi%5 if Mamiqohaxicog==0 then Vexihag=math.floor(math.abs(math.sin(327)*973)) else Nuxamukuhi=math.floor(math.tan(549)*2026)+0 end
local Fububito=math.floor((math.sqrt(1188525719)%68951)+1) local Merejikucofozuk=Fububito%5 if Merejikucofozuk==0 then Sabeyaj=math.floor((math.sqrt(3136514)%3543)+0) else Xohepe=math.floor((math.sqrt(21040632)%9175)+4) end
local Roropu=math.floor(math.tan(206)*32132)+5 local Rasapesugalumuca=Roropu%2 if Rasapesugalumuca==0 then Yoqumodoloq=math.floor((math.sqrt(2036330)%2855)+0) else Piyocabigos=math.floor(math.tan(473)*51)+4 end
local Navamugajuga=math.floor((math.sqrt(819047202)%57239)+5) local Weqeyuraqemiyobi=Navamugajuga%3 if Weqeyuraqemiyobi==2 then Karetobiveco=math.floor(math.abs(math.sin(80)*840)) else Daduqezubu=math.floor((math.sqrt(8450669)%5815)+4) end
local Qutakonef=math.floor(math.abs(math.cos(788)*11002)) local Zomuyopahunig=Qutakonef%3 if Zomuyopahunig==1 then Xatolemede=math.floor(math.abs(math.cos(693)*1978)) else Xihobuwutuj=math.floor((math.sqrt(19740332)%8887)+0) end
local Dokitixaca=math.floor(math.abs(math.cos(329)*64797)) local Resodupocimo=Dokitixaca%5 if Resodupocimo==1 then Xohicadepodud=math.floor(math.tan(138)*2060)+3 else Luzizos=math.floor(math.tan(881)*1392)+0 end
local Korizek=math.floor(math.abs(math.cos(372)*71742)) local Pajetu=Korizek%5 if Pajetu==0 then Gibodi=math.floor((math.sqrt(18966060)%8711)+1) else Mawesidapog=math.floor((math.sqrt(14341374)%7575)+1) end
local Conafolegi=math.floor(math.tan(496)*56904)+4 local Jematodalew=Conafolegi%2 if Jematodalew==0 then Covakujiyupoj=math.floor((math.sqrt(7241508)%5383)+4) else Neduxudo=math.floor((math.sqrt(16216796)%8055)+0) end
local Sivisizirisitefa=math.floor((math.sqrt(8495493315)%184343)+5) local Sobihohafun=Sivisizirisitefa%5 if Sobihohafun==1 then Qupacuzu=math.floor(math.abs(math.cos(701)*1777)) else Kuwajajisixi=math.floor((math.sqrt(2036414)%2855)+1) end
local Jerudevi=math.floor((math.sqrt(3903125702)%124951)+2) local Lisogulijos=Jerudevi%5 if Lisogulijos==0 then Xeroterijudoh=math.floor(math.tan(464)*2067)+2 else Gijofagivugaj=math.floor(math.abs(math.cos(636)*4449)) end
local Mefudezuqama=math.floor((math.sqrt(1777718655)%84327)+4) local Muxariyumin=Mefudezuqama%2 if Muxariyumin==1 then Tayawob=math.floor(math.abs(math.sin(828)*3710)) else Sipeyida=math.floor(math.abs(math.cos(279)*2931)) end
local Nifuxazibo=math.floor(math.tan(207)*8635)+3 local Nujixul=Nifuxazibo%3 if Nujixul==1 then Vobemevita=math.floor((math.sqrt(218139)%935)+4) else Lunafasapim=math.floor((math.sqrt(4888618)%4423)+4) end
local Nedasoradod=math.floor(math.abs(math.cos(73)*47176)) local Jagufuxesawegal=Nedasoradod%3 if Jagufuxesawegal==0 then Nayowicizok=math.floor(math.abs(math.cos(846)*36)) else Fapifov=math.floor((math.sqrt(16703643)%8175)+3) end
local Liqipef=math.floor(math.tan(845)*67631)+3 local Yaqujoyice=Liqipef%5 if Yaqujoyice==4 then Hihuroroki=math.floor(math.abs(math.sin(326)*271)) else Futemojiqowunu=math.floor((math.sqrt(19882709)%8919)+5) end
local Henobapoxavir=math.floor(math.tan(448)*35532)+2 local Jabimotiqixam=Henobapoxavir%3 if Jabimotiqixam==2 then Piyizus=math.floor(math.abs(math.sin(973)*4196)) else Koqalitatacecic=math.floor(math.tan(550)*3920)+2 end
local Mavuxegosudako=math.floor(math.abs(math.cos(272)*86648)) local Cigizuxofirehi=Mavuxegosudako%2 if Cigizuxofirehi==0 then Safutemogaqe=math.floor(math.abs(math.sin(71)*1492)) else Vakipabekuj=math.floor(math.tan(44)*1339)+4 end
local Qemifuhudu=math.floor((math.sqrt(7782592053)%176439)+4) local Kulunuc=Qemifuhudu%4 if Kulunuc==3 then Zatedoficitoxe=math.floor((math.sqrt(1793021)%2679)+2) else Hocusazaqid=math.floor(math.abs(math.sin(980)*4077)) end
local Yabiyujixufad=math.floor(math.abs(math.sin(742)*18271)) local Vecekola=Yabiyujixufad%4 if Vecekola==1 then Puxukepikejeri=math.floor(math.abs(math.sin(817)*4568)) else Vebeqac=math.floor((math.sqrt(143642)%759)+4) end
local Zaquyemu=math.floor(math.abs(math.cos(782)*93670)) local Madixasa=Zaquyemu%2 if Madixasa==0 then Mupuhujinewo=math.floor((math.sqrt(6912)%167)+0) else Joguriwad=math.floor(math.abs(math.sin(616)*324)) end
local Sutihivocidir=math.floor(math.tan(379)*22832)+0 local Xohisupugapi=Sutihivocidir%2 if Xohisupugapi==0 then Labojexefabozap=math.floor(math.abs(math.sin(256)*4994)) else Lopucavawoziboqa=math.floor(math.abs(math.sin(197)*1514)) end
local Rirewugutiz=math.floor(math.abs(math.sin(579)*58614)) local Mozezecunes=Rirewugutiz%4 if Mozezecunes==1 then Gofujurefuciguju=math.floor((math.sqrt(1334062)%2311)+2) else Patorelogikurot=math.floor(math.abs(math.sin(67)*2491)) end
local Qibexuj=math.floor(math.abs(math.cos(915)*74350)) local Jesujezutusejem=Qibexuj%4 if Jesujezutusejem==0 then Meveqapokilovu=math.floor(math.abs(math.sin(458)*4659)) else Goyimapepov=math.floor((math.sqrt(8850674)%5951)+1) end
local Geyuxuqew=math.floor(math.abs(math.cos(293)*30618)) local Garuhexaf=Geyuxuqew%5 if Garuhexaf==1 then Gewaqa=math.floor(math.abs(math.sin(6)*18)) else Dumayayubipis=math.floor(math.abs(math.sin(934)*4375)) end
local Pumawezujovuduj=math.floor(math.tan(965)*41607)+2 local Toyareludaw=Pumawezujovuduj%2 if Toyareludaw==0 then Qalatobat=math.floor(math.tan(777)*3994)+0 else Wofijuhocatiwu=math.floor(math.abs(math.cos(399)*1955)) end
local Fesuwoxatiyetixe=math.floor(math.tan(891)*56061)+1 local Yodamose=Fesuwoxatiyetixe%3 if Yodamose==1 then Xesuqef=math.floor(math.abs(math.sin(110)*870)) else Gawasokes=math.floor(math.tan(522)*3447)+5 end
local Jihigisubexoqa=math.floor(math.abs(math.cos(550)*32914)) local Rumoyajozoxaqazi=Jihigisubexoqa%5 if Rumoyajozoxaqazi==3 then Ranariredi=math.floor((math.sqrt(57215)%479)+0) else Ritulumexigejan=math.floor(math.tan(734)*554)+3 end
local Rihipeha=math.floor(math.abs(math.sin(465)*1822)) local Jepexokutuyeduje=Rihipeha%5 if Jepexokutuyeduje==2 then Wigurekas=math.floor(math.abs(math.cos(745)*2944)) else Wifevuvomupice=math.floor(math.tan(296)*1420)+2 end
local Nonibopuwacineda=math.floor(math.abs(math.sin(596)*31534)) local Focaxekimuse=Nonibopuwacineda%2 if Focaxekimuse==1 then Woxofijem=math.floor(math.tan(390)*4246)+0 else Cileculusutupuco=math.floor(math.tan(600)*984)+4 end
local Gutakaraxote=math.floor(math.tan(893)*43630)+4 local Yibijepa=Gutakaraxote%5 if Yibijepa==0 then Vubezoresimuj=math.floor(math.abs(math.cos(347)*3908)) else Cemiza=math.floor(math.abs(math.cos(929)*2750)) end
local Cateba=math.floor(math.abs(math.cos(181)*96765)) local Navomiquxet=Cateba%2 if Navomiquxet==0 then Qatuvabepu=math.floor(math.abs(math.cos(987)*2469)) else Lijojev=math.floor(math.abs(math.sin(139)*65)) end
local Nasezodemi=math.floor(math.tan(517)*66297)+0 local Volalokul=Nasezodemi%2 if Volalokul==0 then Hutupik=math.floor(math.abs(math.cos(620)*4251)) else Cabefi=math.floor((math.sqrt(21224507)%9215)+4) end
local Gusiluhuliy=math.floor(math.tan(507)*91194)+2 local Nifemelaboyi=Gusiluhuliy%3 if Nifemelaboyi==0 then Cibidirekapiwax=math.floor(math.tan(373)*2212)+0 else Higuhixelibujes=math.floor(math.abs(math.sin(817)*3112)) end
local Davoceritefo=math.floor(math.abs(math.sin(553)*24787)) local Duyibeluzo=Davoceritefo%3 if Duyibeluzo==1 then Foquko=math.floor(math.abs(math.cos(577)*3214)) else Dewixehezu=math.floor(math.abs(math.cos(212)*4257)) end
local Mixulago=math.floor(math.abs(math.sin(307)*89608)) local Yiwusiyegiga=Mixulago%4 if Yiwusiyegiga==1 then Sizuvayiyak=math.floor(math.abs(math.sin(669)*1835)) else Nobaqufi=math.floor(math.abs(math.cos(219)*2505)) end
local Rapapahazi=math.floor(math.abs(math.cos(475)*98529)) local Dewozofasetusen=Rapapahazi%3 if Dewozofasetusen==2 then Jiwixiwihi=math.floor(math.abs(math.sin(755)*114)) else Qewumogimeji=math.floor((math.sqrt(11202421)%6695)+5) end
local Wiboqihoqavabo=math.floor(math.abs(math.cos(361)*96076)) local Kokaloceyiqobu=Wiboqihoqavabo%2 if Kokaloceyiqobu==0 then Nutasafi=math.floor(math.abs(math.sin(236)*362)) else Wuruyeyi=math.floor((math.sqrt(2247032)%2999)+4) end
local Qapogaxeweriq=math.floor(math.tan(838)*33836)+4 local Witere=Qapogaxeweriq%4 if Witere==2 then Qumojidebofir=math.floor(math.abs(math.cos(649)*849)) else Zakelawapajoso=math.floor(math.abs(math.cos(126)*3299)) end
local Zekosifupir=math.floor(math.tan(502)*64658)+3 local Kohukiwozal=Zekosifupir%2 if Kohukiwozal==0 then Dumikikarerukur=math.floor(math.abs(math.cos(252)*2421)) else Kaciqeteniyuv=math.floor(math.abs(math.sin(597)*3601)) end
local Qinomir=math.floor((math.sqrt(63027738)%15879)+3) local Nanutegotet=Qinomir%3 if Nanutegotet==1 then Qigoyepina=math.floor(math.tan(654)*720)+5 else Coqokekekeyew=math.floor(math.tan(829)*2032)+4 end
local Gutodareci=math.floor(math.abs(math.sin(439)*33546)) local Jidoyeyic=Gutodareci%4 if Jidoyeyic==1 then Dunege=math.floor(math.abs(math.cos(677)*2302)) else Xuhazererotupoqu=math.floor(math.abs(math.cos(610)*2904)) end
local Jucijipov=math.floor((math.sqrt(1509089434)%77695)+1) local Qokaquqefuketetu=Jucijipov%3 if Qokaquqefuketetu==0 then Zegoxayet=math.floor(math.tan(979)*1811)+2 else Jeyaqehe=math.floor(math.tan(26)*3998)+1 end
local Tafatub=math.floor(math.abs(math.cos(704)*22468)) local Dozoxifebeyihuf=Tafatub%5 if Dozoxifebeyihuf==4 then Riseruwiduk=math.floor(math.tan(921)*3357)+4 else Vubogecafaxuhabu=math.floor(math.abs(math.cos(350)*826)) end
local Jivedudiw=math.floor(math.tan(119)*49806)+4 local Cawobuyayayad=Jivedudiw%4 if Cawobuyayayad==2 then Funamuyajodera=math.floor(math.abs(math.sin(878)*549)) else Temeyecuqi=math.floor(math.abs(math.cos(7)*1600)) end
local Wecehadamuzakequ=math.floor(math.abs(math.cos(709)*40420)) local Toziwawivug=Wecehadamuzakequ%5 if Toziwawivug==2 then Jivocezipeyam=math.floor(math.abs(math.sin(753)*3711)) else Cuzoran=math.floor((math.sqrt(41223)%407)+2) end
local Kefasajuqe=math.floor(math.abs(math.sin(679)*73731)) local Nuviqetemebi=Kefasajuqe%5 if Nuviqetemebi==0 then Gulicetex=math.floor((math.sqrt(84774)%583)+5) else Fuwebeyaharewi=math.floor(math.abs(math.cos(369)*39)) end
local Tihumicaqo=math.floor(math.abs(math.sin(308)*80610)) local Nokeyekodines=Tihumicaqo%5 if Nokeyekodines==1 then Xozipadugiyut=math.floor((math.sqrt(5285462)%4599)+3) else Sewayocacojaviro=math.floor(math.abs(math.sin(470)*349)) end
local Leguzebarusuxe=math.floor(math.abs(math.sin(651)*54355)) local Badijono=Leguzebarusuxe%4 if Badijono==1 then Pobevigedoze=math.floor(math.abs(math.cos(112)*161)) else Gupamatedajago=math.floor((math.sqrt(4870947)%4415)+2) end
local Lowenamiq=math.floor((math.sqrt(9196618246)%191799)+4) local Sahokeqofo=Lowenamiq%3 if Sahokeqofo==1 then Jiholiru=math.floor(math.abs(math.cos(838)*9)) else Runizinoqoq=math.floor(math.abs(math.sin(480)*3587)) end
local Xenebuvesikecex=math.floor(math.abs(math.cos(736)*49525)) local Nesizatasam=Xenebuvesikecex%2 if Nesizatasam==0 then Fuyazorola=math.floor(math.abs(math.cos(513)*4278)) else Miseposokubi=math.floor(math.abs(math.sin(953)*946)) end
local Hetisuyiq=math.floor(math.abs(math.sin(944)*31064)) local Qagarot=Hetisuyiq%2 if Qagarot==1 then Sakidik=math.floor(math.tan(582)*1138)+2 else Yuhiyedikarayaj=math.floor(math.tan(1)*644)+3 end
local Tivaqabonuzagofu=math.floor(math.abs(math.sin(236)*67291)) local Hotoles=Tivaqabonuzagofu%2 if Hotoles==1 then Nibuwaqo=math.floor((math.sqrt(3294238)%3631)+1) else Dalake=math.floor(math.abs(math.sin(401)*2720)) end
local Runilavumafuhicu=math.floor(math.abs(math.cos(624)*35421)) local Bunomuvimuroqi=Runilavumafuhicu%2 if Bunomuvimuroqi==0 then Fimopohuxu=math.floor(math.abs(math.sin(717)*2830)) else Bujode=math.floor(math.abs(math.sin(501)*191)) end
local Rafunanosunekaf=math.floor((math.sqrt(2673613890)%103415)+2) local Keninezap=Rafunanosunekaf%2 if Keninezap==1 then Xecuxupokukudoyu=math.floor(math.abs(math.sin(783)*4391)) else Bewenoloqevo=math.floor(math.tan(983)*3355)+1 end
local Bifopuju=math.floor(math.abs(math.sin(836)*64855)) local Javapajuqalinawe=Bifopuju%4 if Javapajuqalinawe==1 then Jukijavamoxanak=math.floor((math.sqrt(20277024)%9007)+5) else Wajejo=math.floor(math.abs(math.sin(231)*2436)) end
local Nefiwowala=math.floor(math.abs(math.cos(38)*35141)) local Hufeyefovu=Nefiwowala%3 if Hufeyefovu==0 then Fixagulisebaxugu=math.floor(math.abs(math.cos(837)*1186)) else Podozovaxebuga=math.floor(math.tan(591)*4487)+2 end
local Goyasuvesetupoxi=math.floor(math.abs(math.cos(71)*17223)) local Timayun=Goyasuvesetupoxi%4 if Timayun==0 then Jucavijexipul=math.floor(math.tan(891)*2396)+5 else Dupikecififaqi=math.floor(math.abs(math.sin(254)*2514)) end
local Noxadequcexoy=math.floor(math.abs(math.cos(687)*51242)) local Soxavutihu=Noxadequcexoy%3 if Soxavutihu==1 then Yazumudarukajo=math.floor((math.sqrt(87064)%591)+3) else Cupahuzovodasuj=math.floor(math.abs(math.cos(47)*4751)) end
local Daqayazilinekelu=math.floor(math.tan(742)*6230)+0 local Feviwiqiqawovay=Daqayazilinekelu%2 if Feviwiqiqawovay==0 then Kohudetom=math.floor(math.abs(math.sin(960)*1144)) else Qineyex=math.floor((math.sqrt(690581)%1663)+4) end
local Hepagaxuf=math.floor(math.abs(math.sin(234)*46393)) local Buronuhez=Hepagaxuf%3 if Buronuhez==2 then Tizapadeve=math.floor(math.abs(math.sin(526)*1187)) else Tigecuk=math.floor(math.abs(math.cos(51)*2434)) end
local Fuyuzogego=math.floor(math.abs(math.cos(757)*97956)) local Bafiveqiromi=Fuyuzogego%4 if Bafiveqiromi==0 then Yuwoqehucejunoq=math.floor((math.sqrt(638428)%1599)+5) else Bejuwezivu=math.floor(math.tan(374)*4657)+1 end
local Mijufujusexi=math.floor(math.tan(871)*24197)+4 local Mulobiwaq=Mijufujusexi%3 if Mulobiwaq==0 then Mawazizuxawuqe=math.floor(math.abs(math.cos(872)*663)) else Musuribipe=math.floor(math.abs(math.sin(29)*2982)) end
local Yidavuha=math.floor(math.tan(5)*31747)+2 local Naheyujuduqis=Yidavuha%3 if Naheyujuduqis==1 then Pukisezetosufu=math.floor(math.tan(958)*4318)+5 else Qaheca=math.floor(math.tan(977)*2009)+2 end
local Zofopaz=math.floor(math.abs(math.sin(862)*19931)) local Pocebesudoveji=Zofopaz%5 if Pocebesudoveji==1 then Yadanapigimi=math.floor(math.tan(147)*919)+0 else Vajuhicitakagabi=math.floor(math.tan(20)*2637)+2 end
